step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
20,-0.4200000000000002,0,-0.4200000000000002,-0.4200000000000002,0,-0.4200000000000002,199.30926378762604,-2,0.23296630341590685,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,1199.0858403364982,-12,4.628055431237499,1394.7883812061,-14,3.9450377607884093
21,-0.4400000000000002,0,-0.4400000000000002,-0.4400000000000002,0,-0.4400000000000002,298.7854125297311,-3,1.1032983082491796,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,-0.01,0,-0.01,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,1298.4285831508196,-13,8.47275485773116,1494.568362134704,-15,4.379065586156003
22,-0.46000000000000024,0,-0.46000000000000024,-0.46000000000000024,0,-0.46000000000000024,398.0832160838291,-4,1.1737304551865009,298.88134962037395,-3,0.12733554129653157,0.0,0,0.0,-99.43180355409795,1,-0.20443214693730738,796.2809453985775,-8,-0.39642547896232827,0.0,0,0.0,1397.4165831508196,-14,8.2333834505705,1494.568362134704,-15,0.7982917393169373
23,-0.48000000000000026,0,-0.48000000000000026,-0.48000000000000026,0,-0.48000000000000026,497.53065827089114,-5,1.1320528032360357,199.31678166888736,-2,0.14743894950240133,0.0,0,0.0,-198.88854636841927,2,-0.3291041813572235,796.2809453985775,-8,-0.39642547896232827,0.0,0,0.0,1496.4045831508197,-15,7.20876674785427,1494.558362134704,-15,0.7882917393169464
24,-0.5000000000000002,0,-0.5000000000000002,-0.5000000000000002,0,-0.5000000000000002,596.8647962823321,-6,1.1864697211459543,99.6701103091949,-1,0.05682152611211677,0.0,0,0.0,-198.88854636841927,2,-0.3291041813572235,796.2809453985775,-8,-0.6253648660847375,0.0,0,0.0,1396.9564451393787,-14,7.040349829944489,1594.206427583968,-16,0.39380705464350285
25,-0.5200000000000002,0,-0.5200000000000002,-0.5200000000000002,0,-0.5200000000000002,596.8647962823321,-6,2.0378815509845936,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.6129081246367605,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1496.1200833831613,-15,9.052796554792394,1693.932440464719,-17,0.15832775273838706
26,-0.5400000000000003,0,-0.5400000000000003,-0.5400000000000003,0,-0.5400000000000003,596.8647962823321,-6,2.265219221563598,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.6886873481631142,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1595.2079424034175,-16,9.609070241368272,1793.7145908622506,-18,0.3067068142711378
27,-0.5600000000000003,0,-0.5600000000000003,-0.5600000000000003,0,-0.5600000000000003,596.8547962823321,-6,2.796828648419023,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1694.1959424034176,-17,11.031700773997045,1893.5069941702259,-19,0.46533878624768477
28,-0.5800000000000003,0,-0.5800000000000003,-0.5800000000000003,0,-0.5800000000000003,695.8927864702276,-7,2.825157563995731,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1793.1839424034176,-18,11.010039501678193,1993.360713014208,-20,0.6852862942307638
29,-0.6000000000000003,0,-0.6000000000000003,-0.6000000000000003,0,-0.6000000000000003,695.8927864702276,-7,2.825157563995731,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1892.2848555796868,-19,11.101291405628672,2093.258095026104,-21,0.948896970127862
